developer,month_year,network,total_commits
0xkyng,2024-01-01,starknet,1
0xkyng,2024-02-01,starknet,0
0xkyng,2024-03-01,starknet,0
Calebux,2023-11-01,starknet,5
Calebux,2023-12-01,starknet,0
Calebux,2024-01-01,starknet,0
Calebux,2024-02-01,starknet,8
Calebux,2024-03-01,starknet,0
Immanuelolivia1,2024-02-01,starknet,14
Immanuelolivia1,2024-03-01,starknet,0
Joy-Adah,2023-08-01,starknet,0
Joy-Adah,2023-09-01,starknet,0
Joy-Adah,2023-10-01,starknet,0
Joy-Adah,2023-11-01,starknet,0
Joy-Adah,2023-12-01,starknet,5
Joy-Adah,2024-01-01,starknet,12
Joy-Adah,2024-02-01,starknet,2
Joy-Adah,2024-03-01,starknet,0
Oshioke-Salaki,2023-12-01,starknet,0
Oshioke-Salaki,2024-01-01,starknet,3
Oshioke-Salaki,2024-02-01,starknet,36
Oshioke-Salaki,2024-03-01,starknet,0
estherbreath,2024-01-01,starknet,1
estherbreath,2024-02-01,starknet,0
estherbreath,2024-03-01,starknet,0
estheroche,2023-05-01,starknet,0
estheroche,2023-06-01,starknet,0
estheroche,2023-07-01,starknet,0
estheroche,2023-08-01,starknet,0
estheroche,2023-09-01,starknet,0
estheroche,2023-10-01,starknet,2
estheroche,2023-11-01,starknet,2
estheroche,2023-12-01,starknet,1
estheroche,2024-01-01,starknet,5
estheroche,2024-02-01,starknet,0
estheroche,2024-03-01,starknet,1
manoahLinks,2023-05-01,starknet,0
manoahLinks,2023-06-01,starknet,0
manoahLinks,2023-07-01,starknet,0
manoahLinks,2023-08-01,starknet,0
manoahLinks,2023-09-01,starknet,0
manoahLinks,2023-10-01,starknet,0
manoahLinks,2023-11-01,starknet,0
manoahLinks,2023-12-01,starknet,1
manoahLinks,2024-01-01,starknet,0
manoahLinks,2024-02-01,starknet,0
manoahLinks,2024-03-01,starknet,3
princeibs,2024-01-01,starknet,7
princeibs,2024-02-01,starknet,5
princeibs,2024-03-01,starknet,5
vibenedict,2023-07-01,starknet,0
vibenedict,2023-08-01,starknet,0
vibenedict,2023-09-01,starknet,0
vibenedict,2023-10-01,starknet,0
vibenedict,2023-11-01,starknet,0
vibenedict,2023-12-01,starknet,3
vibenedict,2024-01-01,starknet,0
vibenedict,2024-02-01,starknet,0
vibenedict,2024-03-01,starknet,1
